Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Bugasura Issues),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment,Parent,Parent summary,Status Category
Add to Cart,NEWR-17,10074,Story,To Do,NEWR,newr,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 2:45 PM,18/Oct/22 2:50 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000cf:,,,,,,,,,,,,,10082,Order,Done
Product,NEWR-15,10073,Story,To Do,NEWR,newr,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 2:45 PM,18/Oct/22 2:48 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000db:,,,,,,,,,,,,,10080,Product page,Done
Top Offers,NEWR-13,10072,Story,To Do,NEWR,newr,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 2:45 PM,18/Oct/22 2:48 PM,22/Feb/23 3:04 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000d3:,,,,,,,,,,,,,10079,Home,Done
Become a seller,NEWR-14,10071,Story,To Do,NEWR,newr,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 2:45 PM,18/Oct/22 2:48 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000db:,,,,,,,,,,,,,10079,Home,Done
Buy Now,NEWR-12,10070,Story,To Do,NEWR,newr,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 2:45 PM,18/Oct/22 2:50 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000cf:,,,,,,,,,,,,,10082,Order,Done
Cart,NEWR-11,10069,Story,To Do,NEWR,newr,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 2:45 PM,18/Oct/22 2:48 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000db:,,,,,,,,,,,,,10079,Home,Done
Mobile,NEWR-10,10068,Story,To Do,NEWR,newr,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 2:45 PM,18/Oct/22 2:47 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000cf:,,,,,,,,,,,,,10080,Product page,Done
Grocery,NEWR-9,10067,Story,To Do,NEWR,newr,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 2:45 PM,18/Oct/22 2:48 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000d3:,,,,,,,,,,,,,10079,Home,Done
More,NEWR-8,10066,Story,Ready to realse,NEWR,newr,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 2:45 PM,18/Oct/22 2:55 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000bz:,,NEWR Sprint 1,,,,,,,,,,,10079,Home,In Progress
My Cart,NEWR-7,10065,Story,Ready to realse,NEWR,newr,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 2:45 PM,18/Oct/22 2:55 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000c1:,,NEWR Sprint 1,,,,,,,,,,,10079,Home,In Progress
Search Bar,NEWR-6,10064,Story,To Do,NEWR,newr,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 2:45 PM,18/Oct/22 2:48 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000d3:,,,,,,,,,,,,,10079,Home,Done
Payment,NEWR-4,10063,Story,To Do,NEWR,newr,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 2:45 PM,18/Oct/22 2:48 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000cv:,,,,,,,,,,,,,10081,Payment,Done
Netbanking,NEWR-5,10062,Story,Ready to realse,NEWR,newr,software,Anoop Baragi,634e3b8701c2ff842c15c864,,Medium,,,,Anoop Baragi,634e3b8701c2ff842c15c864,Anoop Baragi,634e3b8701c2ff842c15c864,18/Oct/22 2:45 PM,18/Oct/22 2:55 PM,27/Feb/23 1:52 PM,,,0,,,Anoop Baragi,634e3b8701c2ff842c15c864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000c3:,,NEWR Sprint 1,,,,,,,,,,,10081,Payment,In Progress
